Company,ABN,Round,Amount (AUD),Currency,Announced,Investors,Headline,Announced By,Source URL,State,Sector
HEIDI HEALTH TRADING PTY LTD (Heidi Health),84649783871,Series B,98000000,AUD,2025-10-06,"Point72 Private Investments (lead); Blackbird, Headline, Latitude",AI consultation notes scaleup Heidi Health bags $98 million Series B at $703m valuation,Startup Daily,https://www.startupdaily.net/topic/funding/heidi-health-bags-98-million-series-b-at-703-million-valuation/,VIC,Healthtech / AI scribe
NEXL PTY LTD (Nexl),35629542043,Series B,35000000,AUD,2025-10-09,"Tidemark Capital (lead); Shearwater Capital, EVP, Vulpes, Saniel Ventures",Law tech management platform Nexl nabs $35 million Series B,Startup Daily,https://www.startupdaily.net/topic/funding/law-tech-management-platform-nexl-nabs-35-million-series-b/,NSW,Legaltech / CRM
CONRY TECH PTY LTD (Conry Tech),19636613271,Seed,3000000,AUD,2025-10-14,Audacy (lead),Air-conditioning disruptor Conry Tech chills on $3 million Seed round to halve power bills,Startup Daily,https://www.startupdaily.net/topic/funding/air-conditioning-conry-tech-3-million-seed-round/,VIC,Climate tech / HVAC
GOOD HEAT PTY LTD (Good Heat),90683454702,Seed,2000000,AUD,2025-10-17,"Understorey Ventures (lead); Investible, 2100VC",Six Aussie startups that raised $13.4 million this week,SmartCompany,https://www.smartcompany.com.au/startupsmart/startup-funding-downturn-october-2025-gxe-conry-tech-optimaze-inaam/,NSW,Climate tech / thermal storage
FABRA PTY LTD (Fabra),31670922559,Pre-seed,2800000,AUD,2025-11-11,"January Capital, Side Stage Ventures, Concept Ventures, Li & Fung",Fabra raises $2.8 million for browser-based product design tool,SmartCompany,https://www.smartcompany.com.au/startupsmart/fabra-launch-web-based-3d-product-design-2-8-million-raise/,NSW,Design software / 3D
NUMBER 8 BIO PTY LTD (Number 8 Bio),80654122915,Series A,11000000,AUD,2025-11-12,"Icehouse Ventures (lead); Main Sequence, ONE Innovators",Livestock methane reduction startup swallows $11 million Series A,Startup Daily,https://www.startupdaily.net/topic/funding/livestock-methane-reduction-startup-swallows-11-million-series-a/,NSW,Agtech / synthetic biology
KASADA PTY LTD (Kasada),92603494793,Growth (reported as Series D),30000000,AUD,2025-12-12,"EQT (lead); Ten Eleven Ventures, Main Sequence, Reinventure, OIF Ventures, StepStone, Turnbull & Partners",Cheque-in: 6 startups banking a whopping $568.1 million two weeks before Christmas,Startup Daily,https://www.startupdaily.net/topic/funding/airwallex-kasada-hnry/,NSW,Cybersecurity / bot defence
IND TECHNOLOGY PTY LTD (IND Technology),84162487390,Growth (first institutional round),50000000,AUD,2025-12-15,"Angeleno Group, Energy Impact Partners (co-leads); Edison International, Virescent Ventures",Angeleno Group and Energy Impact Partners Announce AUD$50M Commitment to IND Technology,Company press release (IND Technology),https://ind-technology.com/news/angeleno-group-and-energy-impact-partners-announce-aud50m-commitment-to-ind-technology-the-leading-global-provider-of-early-fault-detection-efd-systems-to-prevent-grid-failures-a/,VIC,Energy / grid fault detection
MEQ PROBE PTY LTD (MEQ Solutions),56614314920,Series A,23000000,AUD,2025-12-16,Insight Partners (lead),US VC Insight Partners backs $23 million Series A for Melbourne AI beef grading platform,Startup Daily,https://www.startupdaily.net/topic/ag-tech/us-vc-insight-partners-backs-23-million-series-a-for-melbourne-ai-beef-grading-platform/,VIC,Agtech / AI meat grading
FERRONOVA PTY LTD (Ferronova),89612664347,Series A top-up,6000000,AUD,2025-12-17,"Uniseed/UniSuper, South Australian Venture Capital Fund, Artesian Venture Partners, Renew Pharmaceuticals",Adelaide cancer detection startup Ferronova tops up its long-running Series A with $6 million,Startup Daily,https://www.startupdaily.net/topic/funding/adelaide-cancer-detection-startup-ferronova-tops-up-its-long-running-series-a-with-6-million/,SA,Medtech / cancer imaging
